x:338, y:  0, r:  162, g:  165, b:  158
x:339, y:  0, r:  162, g:  165, b:  158
x:340, y:  0, r:  162, g:  165, b:  158
x:341, y:  0, r:  163, g:  166, b:  159
x:342, y:  0, r:  162, g:  165, b:  158
x:343, y:  0, r:  163, g:  166, b:  159
x:344, y:  0, r:  164, g:  167, b:  160
x:345, y:  0, r:  165, g:  168, b:  161
x:346, y:  0, r:  163, g:  166, b:  159
x:347, y:  0, r:  163, g:  166, b:  159
x:348, y:  0, r:  162, g:  166, b:  160
x:349, y:  0, r:  162, g:  167, b:  161
x:350, y:  0, r:  162, g:  167, b:  161
x:351, y:  0, r:  162, g:  167, b:  161
x:352, y:  0, r:  160, g:  165, b:  158
x:353, y:  0, r:  161, g:  166, b:  159
x:354, y:  0, r:  162, g:  167, b:  160
x:355, y:  0, r:  162, g:  167, b:  160
x:356, y:  0, r:  161, g:  166, b:  159
x:357, y:  0, r:  162, g:  167, b:  160
x:358, y:  0, r:  161, g:  166, b:  159
x:359, y:  0, r:  161, g:  166, b:  160
x:360, y:  0, r:  162, g:  167, b:  161
x:361, y:  0, r:  161, g:  166, b:  160
x:362, y:  0, r:  161, g:  166, b:  160
x:363, y:  0, r:  162, g:  167, b:  161
x:364, y:  0, r:  161, g:  166, b:  160
x:365, y:  0, r:  162, g:  167, b:  161
x:366, y:  0, r:  161, g:  166, b:  159
x:367, y:  0, r:  162, g:  167, b:  161
x:368, y:  0, r:  162, g:  167, b:  161
x:369, y:  0, r:  162, g:  167, b:  161
x:370, y:  0, r:  162, g:  167, b:  160
x:371, y:  0, r:  160, g:  165, b:  157
x:372, y:  0, r:  160, g:  165, b:  158
x:373, y:  0, r:  160, g:  165, b:  157
x:374, y:  0, r:  161, g:  166, b:  159
x:375, y:  0, r:  160, g:  165, b:  158
x:376, y:  0, r:  161, g:  166, b:  159
x:377, y:  0, r:  159, g:  164, b:  157
x:378, y:  0, r:  160, g:  165, b:  159
x:379, y:  0, r:  163, g:  168, b:  162
x:380, y:  0, r:  163, g:  168, b:  161
x:381, y:  0, r:  162, g:  167, b:  160
x:382, y:  0, r:  163, g:  168, b:  161
x:383, y:  0, r:  162, g:  167, b:  161
x:384, y:  0, r:  160, g:  165, b:  159
x:385, y:  0, r:  159, g:  164, b:  158
x:386, y:  0, r:  162, g:  167, b:  161
x:387, y:  0, r:  161, g:  166, b:  160
x:388, y:  0, r:  163, g:  168, b:  162
x:389, y:  0, r:  163, g:  168, b:  162
x:390, y:  0, r:  162, g:  168, b:  162
x:391, y:  0, r:  162, g:  167, b:  161
x:392, y:  0, r:  161, g:  168, b:  160
x:393, y:  0, r:  163, g:  167, b:  160
x:394, y:  0, r:  165, g:  167, b:  160
x:395, y:  0, r:  160, g:  166, b:  159
x:396, y:  0, r:  162, g:  167, b:  160
x:397, y:  0, r:  160, g:  165, b:  158
x:398, y:  0, r:  160, g:  165, b:  158
x:399, y:  0, r:  160, g:  167, b:  159
x:400, y:  0, r:  160, g:  165, b:  158
x:401, y:  0, r:  162, g:  167, b:  160
