x:380, y:  0, r:   22, g:   21, b:   32
x:381, y:  0, r:   21, g:   21, b:   32
x:382, y:  0, r:   19, g:   23, b:   31
x:383, y:  0, r:   19, g:   23, b:   32
x:384, y:  0, r:   19, g:   22, b:   31
x:385, y:  0, r:   21, g:   22, b:   32
x:386, y:  0, r:   22, g:   21, b:   32
x:387, y:  0, r:   21, g:   21, b:   31
x:388, y:  0, r:   21, g:   21, b:   31
x:389, y:  0, r:   21, g:   21, b:   31
x:390, y:  0, r:   22, g:   22, b:   32
x:391, y:  0, r:   20, g:   21, b:   31
x:392, y:  0, r:   19, g:   22, b:   31
x:393, y:  0, r:   18, g:   22, b:   31
x:394, y:  0, r:   20, g:   24, b:   33
x:395, y:  0, r:   20, g:   24, b:   32
x:396, y:  0, r:   21, g:   23, b:   33
x:397, y:  0, r:   20, g:   23, b:   34
x:398, y:  0, r:   21, g:   22, b:   35
x:399, y:  0, r:   21, g:   22, b:   35
x:400, y:  0, r:   21, g:   23, b:   35
x:401, y:  0, r:   20, g:   22, b:   34
x:402, y:  0, r:   22, g:   25, b:   35
x:403, y:  0, r:   20, g:   23, b:   32
x:404, y:  0, r:   21, g:   24, b:   33
x:405, y:  0, r:   20, g:   23, b:   32
x:406, y:  0, r:   19, g:   22, b:   31
x:407, y:  0, r:   20, g:   23, b:   32
x:408, y:  0, r:   20, g:   23, b:   32
x:409, y:  0, r:   18, g:   21, b:   30
x:410, y:  0, r:   20, g:   23, b:   32
x:411, y:  0, r:   21, g:   24, b:   33
x:412, y:  0, r:   20, g:   23, b:   32
x:413, y:  0, r:   21, g:   24, b:   33
x:414, y:  0, r:   22, g:   25, b:   34
x:415, y:  0, r:   20, g:   22, b:   34
x:416, y:  0, r:   21, g:   23, b:   35
x:417, y:  0, r:   21, g:   23, b:   35
x:418, y:  0, r:   21, g:   23, b:   35
x:419, y:  0, r:   21, g:   23, b:   35
x:420, y:  0, r:   19, g:   21, b:   33
x:421, y:  0, r:   22, g:   24, b:   36
x:422, y:  0, r:   21, g:   23, b:   35
x:423, y:  0, r:   22, g:   24, b:   36
